Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category,Sleep_Debt,Digital_Overload,Academic_Pressure,Lifestyle_Balance,Burnout_Risk_Score,Burnout_Label,Burnout_Label_v2
1,19.0,1,2.6,5.9,7.4,2.8,86.3,75.1,3.8,2.8,1.4,6.3,2,0,4.9,16.4,5.88,51.16,2,0.0999999999999996,10.2,0.6474000000000003,6.300000000000001,-1.0989000000000018,0,0
2,25.0,1,5.4,6.4,6.4,4.1,93.3,99.6,7.9,0.5,8.3,8.2,1,0,3.9,2.1,6.62,74.1,0,0.0,10.5,0.0216,6.471428571428572,-0.9690285714285718,0,1
3,22.0,1,6.8,5.5,7.4,4.3,66.3,75.6,4.0,1.7,9.3,4.1,0,0,4.9,3.6,7.11,34.63,1,0.5,11.7,1.659200000000001,5.742857142857143,6.985942857142857,0,1
4,21.0,0,1.7,8.0,6.2,2.4,62.8,51.9,3.0,2.5,2.5,10.0,2,0,2.8,8.5,6.85,53.2,2,0.0,8.6,0.8177,8.357142857142858,-6.470592857142857,0,0
5,17.0,1,7.6,6.2,4.3,3.7,87.9,37.0,8.8,3.3,6.1,8.0,0,0,4.5,5.3,5.86,57.4,2,0.0,8.0,4.787999999999999,6.671428571428572,6.59057142857143,0,1
6,17.0,0,3.9,3.0,3.2,2.2,78.0,87.1,2.5,3.9,5.6,1.8,0,1,8.0,2.9,9.83,25.82,1,3.0,5.4,0.5031,3.557142857142857,8.117507142857141,0,1
7,16.0,1,2.2,10.0,5.3,5.4,91.2,63.2,7.7,2.7,2.6,6.4,0,1,5.9,4.1,6.83,66.65,0,0.0,10.7,0.8096000000000001,10.385714285714286,-5.261314285714286,0,0
8,23.0,0,5.7,6.3,4.1,2.4,94.1,65.6,5.2,9.0,1.0,3.3,2,0,6.4,3.0,7.62,66.45,0,0.0,6.5,1.9608000000000003,7.585714285714285,1.5154857142857154,0,1
9,21.0,0,3.3,6.3,5.7,2.6,55.9,94.4,7.5,8.5,5.0,5.8,2,0,5.6,2.2,7.84,65.59,0,0.0,8.3,0.1847999999999998,7.514285714285714,-3.3470857142857144,0,0
10,22.0,0,4.0,9.2,4.8,2.2,69.1,72.6,6.6,6.9,5.7,1.0,1,0,7.9,0.4,5.11,47.47,2,0.0,7.0,1.096,10.185714285714283,-2.341714285714284,0,1
11,16.0,0,3.4,5.4,7.0,1.7,78.4,69.6,1.4,0.5,8.3,3.0,1,1,4.5,2.3,9.14,30.44,1,0.5999999999999996,8.7,1.0336,5.471428571428572,2.848971428571428,1,1
12,25.0,0,2.6,8.5,6.1,6.7,66.7,77.9,5.3,2.4,10.0,5.9,0,1,4.1,10.1,5.64,41.28,1,0.0,12.8,0.5746,8.842857142857143,-2.450957142857143,0,1
13,23.0,0,5.6,6.2,7.1,3.9,73.9,100.0,5.5,5.1,7.0,4.9,1,0,4.0,4.6,4.3,46.92,2,0.0,11.0,0.0,6.928571428571429,0.6014285714285714,0,1
